,Entry
0,A0AVT1
6,A1Z199
36,A1Z1Q3
37,A5LHX3
141,A5PKW4
252,A5X5Y0
530,A6NHL2
533,A7MCY6
534,A8K2H7
538,A8MPY1
546,B1AH88
547,B2RXH2
589,C9JQD8
593,O00115
594,O00141
729,O00142
759,O00167
762,O00182
782,O00187
786,O00206
874,O00214
877,O00217
881,O00220
884,O00222
946,O00231
975,O00232
1004,O00238
1041,O00255
1272,O00257
1300,O00264
1301,O00305
1310,O00311
1889,O00329
7889,O00337
7891,O00391
7892,O00398
7943,O00400
8088,O00408
8581,O00418
8663,O00429
8706,O00443
8722,O00444
8911,O00459
9191,O00462
9192,O00481
9217,O00482
9286,O00483
9292,O00487
9344,O00506
9368,O00512
9381,O00519
10576,O00555
10592,O00571
10595,O00591
10973,O00625
10985,O00748
11119,O00750
11360,O00754
11365,O00762
11366,O00763
14940,O00764
14947,O00767
15435,O14519
15452,O14561
15456,O14578
15492,O14638
15547,O14640
15548,O14641
15551,O14649
15618,O14672
15762,O14684
17228,O14730
17251,O14733
17292,O14744
17871,O14746
18308,O14757
20324,O14764
20711,O14786
20775,O14788
20783,O14793
20790,O14804
20791,O14815
20800,O14818
20904,O14842
22299,O14843
22344,O14867
22345,O14920
23462,O14936
23479,O14939
23621,O14965
26527,O14966
26528,O14975
26530,O14976
26712,O14980
26747,O14983
26755,O15021
26758,O15054
26810,O15055
26903,O15056
26931,O15075
26951,O15111
27292,O15118
27298,O15120
27400,O15146
27428,O15151
27677,O15164
27760,O15197
27794,O15228
27796,O15229
27948,O15239
27952,O15244
28017,O15245
28058,O15254
28060,O15264
28690,O15269
28694,O15270
28708,O15294
28713,O15296
28719,O15297
28724,O15303
28787,O15305
28791,O15357
28805,O15379
32172,O15382
32245,O15392
32273,O15393
32278,O15399
32523,O15427
32762,O15438
32768,O15439
32803,O15440
32806,O15455
32807,O15492
32808,O15496
32915,O15527
32930,O15528
32945,O15530
33702,O15540
33732,O15550
33744,O15552
34081,O15554
34228,O43148
34229,O43174
34410,O43175
34693,O43181
34697,O43184
34702,O43187
34703,O43193
34964,O43194
35030,O43242
35059,O43280
35060,O43283
35084,O43291
35086,O43293
35155,O43306
35190,O43314
35191,O43318
35452,O43353
35631,O43426
35632,O43451
36072,O43463
36079,O43464
36080,O43497
36601,O43511
36603,O43521
36624,O43525
36789,O43526
37023,O43570
40558,O43598
40579,O43603
40665,O43613
45695,O43614
51571,O43674
51575,O43676
51579,O43677
51583,O43678
51587,O43683
51852,O43739
51853,O43741
51902,O43772
51903,O43781
51967,O43826
51978,O43865
51981,O43868
52005,O43895
52010,O43897
52013,O43920
52017,O43924
52228,O60218
52326,O60235
52370,O60259
52391,O60266
52426,O60285
52486,O60307
52495,O60313
52497,O60331
52511,O60341
54296,O60346
54299,O60359
54308,O60361
54309,O60391
54529,O60427
54571,O60502
54936,O60503
54971,O60551
55019,O60563
55957,O60583
55958,O60603
56053,O60656
56054,O60658
56105,O60671
56107,O60674
63874,O60675
63875,O60678
63945,O60706
64257,O60725
64444,O60733
64453,O60741
64473,O60755
64513,O60760
64778,O60825
64798,O60840
64940,O60841
64941,O60885
66747,O60894
66832,O60896
66976,O60906
66978,O60911
67114,O60930
67123,O60936
67124,O75084
67159,O75106
67163,O75116
69626,O75151
69627,O75164
69791,O75173
70057,O75251
70061,O75306
70066,O75311
70111,O75330
70117,O75342
70118,O75343
70157,O75351
70158,O75355
70159,O75365
70178,O75376
70225,O75380
70229,O75381
70237,O75385
70471,O75419
70472,O75438
70476,O75460
70794,O75469
71172,O75475
71178,O75489
71182,O75493
71202,O75530
71383,O75578
71384,O75581
71396,O75582
71494,O75604
71497,O75608
71516,O75643
71540,O75676
71578,O75688
71588,O75716
71629,O75747
71647,O75751
71666,O75762
72046,O75845
72047,O75874
72666,O75884
72673,O75899
72708,O75907
73568,O75908
73690,O75909
73750,O75914
73792,O75936
73818,O76031
73819,O76039
73832,O76074
75609,O76082
75610,O76083
76078,O94759
76089,O94760
76104,O94768
76189,O94782
76268,O94788
76297,O94804
76368,O94806
76612,O94811
76614,O94907
76647,O94921
76766,O94925
77895,O94953
77981,O94956
77994,O95050
78010,O95067
78407,O95069
78423,O95136
78622,O95139
78626,O95153
78627,O95167
78631,O95168
78635,O95169
78639,O95178
78643,O95180
79041,O95182
79045,O95235
79053,O95255
79054,O95259
79059,O95263
79208,O95264
79488,O95267
79501,O95271
79898,O95298
79902,O95299
79906,O95342
79957,O95347
79959,O95352
80169,O95363
80173,O95372
80195,O95382
80207,O95398
80253,O95436
80256,O95456
80257,O95470
80285,O95503
80291,O95544
80293,O95551
80410,O95563
80412,O95602
80431,O95622
80489,O95630
80509,O95644
80520,O95665
80618,O95696
80700,O95718
80765,O95747
80779,O95749
80864,O95819
81305,O95822
81563,O95835
81745,O95838
81847,O95864
81848,O95870
81852,O95931
81917,O95932
81919,O95977
82292,O96000
82296,O96013
82650,O96017
83156,O96020
83867,O96028
83869,P00325
83881,P00326
83890,P00338
84092,P00352
84267,P00374
85205,P00390
85232,P00395
85234,P00403
85242,P00439
