case categorya rank Dscore SScore size enclosure philic phobic
1qs4 0 1 0.179 0.413 4 0.697 1.311 0.132
1pty 0 2 0.496 0.883 57 0.792 2.115 0.188
1onz 0 3 0.529 0.840 56 0.735 1.888 0.000
1g1f 0 4 0.600 0.882 67 0.721 1.847 0.000
1nny 0 5 0.629 0.868 66 0.706 1.711 0.037
1q1m 0 6 0.721 0.925 85 0.671 1.683 0.137
1nlj 0 7 0.750 0.751 38 0.629 0.633 1.376
1jf7 0 8 0.759 1.015 100 0.720 1.881 0.000
1mem 0 9 0.782 0.804 60 0.649 1.029 0.975
1bmq 0 10 0.864 0.890 79 0.655 1.119 0.512
1a4g 1 11 0.866 1.071 100 0.804 1.706 0.070
1nnc 1 12 0.870 1.001 80 0.815 1.411 0.411
1nf7 1 13 0.876 1.091 175 0.835 1.731 0.175
1f8b 1 14 0.887 1.009 81 0.821 1.384 0.323
1mwe 1 15 0.908 1.048 92 0.815 1.479 0.370
1pwm 2 16 0.938 0.967 83 0.746 1.122 1.338
1t03 1 17 0.952 1.050 371 0.773 1.385 0.303
2qwk 1 18 0.952 1.017 85 0.809 1.227 0.643
1kzn 2 19 0.993 0.967 86 0.685 0.889 0.779
1ptw 2 20 1.001 1.099 139 0.846 1.370 0.487
1o86 1 21 1.004 1.111 283 0.864 1.393 0.477
1e1x 2 22 1.021 1.060 176 0.787 1.201 0.872
1h08 2 23 1.026 1.044 235 0.764 1.142 1.069
1zkn 2 24 1.037 1.065 145 0.795 1.166 0.725
1qmf 1 25 1.039 1.056 165 0.782 1.137 0.424
1hwl 2 26 1.041 1.047 158 0.769 1.104 0.665
1hw9 2 27 1.042 1.068 152 0.799 1.159 0.723
1m17 2 28 1.043 1.025 82 0.787 0.858 0.958
1hvr 2 29 1.044 1.054 178 0.778 1.115 0.818
1hwk 2 30 1.055 1.092 134 0.836 1.186 0.715
1hwi 2 31 1.056 1.037 117 0.747 1.019 0.557
1hwr 2 32 1.057 1.059 168 0.786 1.087 0.862
1h07 2 33 1.058 1.051 176 0.775 1.064 1.216
1qbs 2 34 1.059 1.060 151 0.787 1.084 0.873
1oyn 2 35 1.064 1.107 158 0.857 1.198 1.294
1kij 2 36 1.069 1.060 193 0.787 1.055 0.803
1ezq 2 37 1.074 1.015 101 0.645 0.777 0.815
1q9m 2 38 1.075 1.082 159 0.820 1.095 0.949
1dmp 2 39 1.080 1.058 163 0.769 0.987 0.908
1hwj 2 40 1.082 1.086 162 0.827 1.086 0.749
1hw8 2 41 1.085 1.055 107 0.748 0.931 0.711
1i2z 2 42 1.087 1.069 136 0.790 1.003 0.695
1ke6 2 43 1.094 1.067 135 0.770 0.944 1.178
1ke9 2 44 1.098 1.077 146 0.794 0.977 1.271
1kts 1 45 1.101 1.071 117 0.770 0.924 1.314
1kv1 2 46 1.102 1.103 265 0.852 1.072 1.846
1t41 2 47 1.104 1.082 123 0.799 0.969 1.676
1udt 2 48 1.119 1.116 255 0.871 1.052 1.295
1gpk 2 49 1.122 1.123 180 0.882 1.065 0.921
1ke8 2 50 1.137 1.110 129 0.829 0.922 1.577
1iep 2 51 1.140 1.115 246 0.838 0.930 1.582
1ea1 2 52 1.154 1.130 176 0.859 0.925 1.618
1c14 2 53 1.183 1.125 90 0.818 0.614 1.489
1udu 2 54 1.186 1.145 244 0.844 0.799 1.767
1rv1 2 55 1.197 1.107 229 0.706 0.511 1.623
1e66 2 56 1.201 1.161 202 0.867 0.793 1.257
1ep4 2 57 1.222 1.157 183 0.817 0.639 2.349
4cox 2 58 1.252 1.205 189 0.915 0.727 2.781
1pwl 2 59 1.264 1.195 108 0.859 0.588 3.016
1rth 2 60 1.267 1.206 166 0.888 0.630 2.744
1e9x 2 61 1.323 1.242 142 0.896 0.474 2.571
1eet 2 62 1.363 1.271 143 0.916 0.390 3.282
1fk9 2 63 1.376 1.287 121 0.943 0.400 3.656
