Entry	Status	Ensembl transcript	Gene names  (primary )	3D	Cross-reference (InterPro)	Organism
Q00266	reviewed	ENST00000372213;	MAT1A	X-ray crystallography (3)	IPR022631;IPR022630;IPR022629;IPR022628;IPR002133;IPR022636;	Homo sapiens (Human)
O94851	reviewed	ENST00000256194 [O94851-1];ENST00000527546 [O94851-5];ENST00000528931 [O94851-6];ENST00000675839 [O94851-3];	MICAL2	NMR spectroscopy (1)	IPR001715;IPR036872;IPR002938;IPR036188;IPR029939;IPR001781;	Homo sapiens (Human)
Q8TDZ2	reviewed	ENST00000358577 [Q8TDZ2-2];ENST00000358807 [Q8TDZ2-1];ENST00000630715 [Q8TDZ2-4];	MICAL1	X-ray crystallography (3); NMR spectroscopy (3)	IPR022735;IPR001715;IPR036872;IPR002938;IPR036188;IPR029937;IPR001781;	Homo sapiens (Human)
Q9NYP9	reviewed	ENST00000290130;	MIS18A		IPR034752;IPR004910;	Homo sapiens (Human)
P45452	reviewed	ENST00000260302;	MMP13	Model (1); X-ray crystallography (44); NMR spectroscopy (3)	IPR028711;IPR000585;IPR036375;IPR018487;IPR018486;IPR033739;IPR024079;IPR001818;IPR021190;IPR021158;IPR006026;IPR002477;IPR036365;IPR036366;	Homo sapiens (Human)
P04049	reviewed	ENST00000251849 [P04049-1];ENST00000442415 [P04049-2];	RAF1	X-ray crystallography (25); NMR spectroscopy (5)	IPR020454;IPR011009;IPR002219;IPR000719;IPR017441;IPR003116;IPR001245;IPR008271;IPR029071;	Homo sapiens (Human)
P19793	reviewed	ENST00000481739 [P19793-1];	RXRA	X-ray crystallography (98); NMR spectroscopy (1)	IPR035500;IPR021780;IPR000536;IPR001723;IPR000003;IPR001628;IPR013088;	Homo sapiens (Human)
P02743	reviewed	ENST00000255040;	APCS	X-ray crystallography (13)	IPR013320;IPR030476;IPR001759;	Homo sapiens (Human)
Q9Y6E7	reviewed	ENST00000202967;	SIRT4		IPR029035;IPR003000;IPR026591;IPR026587;IPR026590;	Homo sapiens (Human)
O15460	reviewed	ENST00000166534 [O15460-1];ENST00000360568 [O15460-2];ENST00000379086 [O15460-2];ENST00000379100 [O15460-2];ENST00000379104 [O15460-1];ENST00000401867 [O15460-1];	P4HA2	X-ray crystallography (5)	IPR005123;IPR006620;IPR013547;IPR013026;IPR011990;IPR019734;	Homo sapiens (Human)
Q15797	reviewed	ENST00000302085 [Q15797-1];ENST00000394092 [Q15797-1];ENST00000515385 [Q15797-1];	SMAD1	X-ray crystallography (4); NMR spectroscopy (6)	IPR013790;IPR003619;IPR013019;IPR017855;IPR001132;IPR008984;IPR036578;	Homo sapiens (Human)
P49588	reviewed	ENST00000261772 [P49588-1];ENST00000674691 [P49588-1];ENST00000674963 [P49588-1];ENST00000675643 [P49588-1];	AARS1	X-ray crystallography (6)	IPR002318;IPR018162;IPR018165;IPR018164;IPR023033;IPR003156;IPR018163;IPR009000;IPR012947;	Homo sapiens (Human)
P21980	reviewed	ENST00000361475 [P21980-1];	TGM2	Model (1); X-ray crystallography (9)	IPR013783;IPR014756;IPR038765;IPR002931;IPR036985;IPR023608;IPR013808;IPR008958;IPR036238;IPR001102;	Homo sapiens (Human)
P08582	reviewed	ENST00000296350 [P08582-1];ENST00000296351 [P08582-2];	MELTF	X-ray crystallography (1)	IPR029773;IPR016357;IPR001156;IPR018195;	Homo sapiens (Human)
O94811	reviewed	ENST00000360578;	TPPP		IPR011992;IPR008907;IPR030792;	Homo sapiens (Human)
Q9BZY9	reviewed	ENST00000357569;ENST00000376734 [Q9BZY9-1];ENST00000433864;ENST00000445679 [Q9BZY9-1];ENST00000449412 [Q9BZY9-1];ENST00000453266 [Q9BZY9-1];	TRIM31	NMR spectroscopy (2)	IPR000315;IPR020457;IPR001841;IPR013083;IPR017907;	Homo sapiens (Human)
Q6AZZ1	reviewed	ENST00000300747 [Q6AZZ1-1];	TRIM68		IPR001870;IPR043136;IPR003879;IPR013320;IPR006574;IPR003877;IPR042656;IPR000315;IPR001841;IPR013083;IPR017907;	Homo sapiens (Human)
Q9C040	reviewed	ENST00000338700 [Q9C040-2];ENST00000437508 [Q9C040-1];ENST00000674874 [Q9C040-1];ENST00000674876 [Q9C040-1];ENST00000674976 [Q9C040-1];ENST00000675054 [Q9C040-1];ENST00000675159 [Q9C040-1];ENST00000675293 [Q9C040-1];ENST00000675315 [Q9C040-1];ENST00000675384 [Q9C040-1];ENST00000675745 [Q9C040-1];ENST00000675835 [Q9C040-1];ENST00000676172 [Q9C040-1];ENST00000676252 [Q9C040-1];ENST00000676264 [Q9C040-1];ENST00000676348 [Q9C040-1];ENST00000676374 [Q9C040-1];ENST00000676423 [Q9C040-1];ENST00000676458 [Q9C040-1];	TRIM2	X-ray crystallography (1)	IPR011042;IPR003649;IPR017868;IPR001298;IPR013783;IPR014756;IPR001258;IPR013017;IPR027370;IPR000315;IPR001841;IPR013083;IPR017907;	Homo sapiens (Human)
Q92878	reviewed	ENST00000378823 [Q92878-1];	RAD50	X-ray crystallography (1)	IPR027417;IPR038729;IPR004584;IPR013134;	Homo sapiens (Human)
Q15437	reviewed	ENST00000262544;ENST00000336714;ENST00000377465;ENST00000650089;	SEC23B		IPR029006;IPR007123;IPR036180;IPR037364;IPR006900;IPR036175;IPR006896;IPR012990;IPR037550;IPR036465;IPR006895;IPR036174;	Homo sapiens (Human)
O75880	reviewed	ENST00000255390;	SCO1	X-ray crystallography (2); NMR spectroscopy (8)	IPR003782;IPR017276;IPR036249;	Homo sapiens (Human)
Q96FJ0	reviewed	ENST00000371924 [Q96FJ0-1];ENST00000371926 [Q96FJ0-1];ENST00000371927 [Q96FJ0-2];	STAMBPL1	X-ray crystallography (2)	IPR000555;IPR037518;IPR044098;IPR015063;	Homo sapiens (Human)
P46977	reviewed	ENST00000392708 [P46977-1];ENST00000529196 [P46977-1];ENST00000531491 [P46977-2];ENST00000649491 [P46977-1];	STT3A	Electron microscopy (1)	IPR003674;	Homo sapiens (Human)
Q9GZT4	reviewed	ENST00000344595;	SRR	X-ray crystallography (11)	IPR001926;IPR000634;IPR036052;	Homo sapiens (Human)
Q8WY54	reviewed	ENST00000308249 [Q8WY54-2];	PPM1E		IPR015655;IPR000222;IPR036457;IPR001932;	Homo sapiens (Human)
Q14644	reviewed	ENST00000334062 [Q14644-1];ENST00000630618 [Q14644-1];	RASA3		IPR000008;IPR035892;IPR011993;IPR001849;IPR039360;IPR037774;IPR023152;IPR001936;IPR008936;IPR001562;	Homo sapiens (Human)
J3KN95	unreviewed	ENST00000283977;	PGM3		IPR005844;IPR016055;IPR005843;IPR036900;IPR016657;	Homo sapiens (Human)
A0A087WSZ7	unreviewed	ENST00000546160;	PDE4D		IPR003607;IPR040844;IPR023088;IPR002073;IPR036971;IPR023174;	Homo sapiens (Human)
A0A669KBI7	unreviewed	ENST00000673918;	KMT2B		IPR036427;IPR034732;IPR003889;IPR003888;IPR041959;IPR016569;IPR003616;IPR001214;IPR002857;IPR011011;IPR001965;IPR019787;IPR013083;	Homo sapiens (Human)
E9PLN6	unreviewed	ENST00000525849;	EYA4		IPR028478;IPR006545;IPR042577;IPR038102;IPR028472;	Homo sapiens (Human)
A0A2R8Y4E6	unreviewed	ENST00000646262;	PDE8B		IPR003607;IPR000014;IPR035965;IPR023088;IPR002073;IPR036971;IPR023174;	Homo sapiens (Human)
H0YNC5	unreviewed	ENST00000559053;	ADAM10		IPR027053;IPR024079;IPR001590;	Homo sapiens (Human)
H0YLN8	unreviewed	ENST00000560955;	TRPM7		IPR005821;IPR011009;IPR004166;IPR029601;IPR041491;IPR032415;IPR037162;	Homo sapiens (Human)
A0A0C4DFW2	unreviewed	ENST00000375774;	ING1		IPR028643;IPR028651;IPR024610;IPR019786;IPR011011;IPR001965;IPR019787;IPR013083;	Homo sapiens (Human)
C9J381	unreviewed	ENST00000470772;ENST00000626419;	IMPDH1		IPR013785;IPR000644;IPR005990;IPR015875;IPR001093;	Homo sapiens (Human)
A0A1W2PQ90	unreviewed	ENST00000638452;ENST00000638568;ENST00000640655;			IPR027417;IPR004584;IPR013134;	Homo sapiens (Human)
Q8WVH6	unreviewed	ENST00000401702;	MB		IPR000971;IPR009050;IPR012292;IPR002335;	Homo sapiens (Human)
A6NFW1	unreviewed	ENST00000373583;	HDAC8		IPR000286;IPR003084;IPR023801;IPR037138;IPR023696;	Homo sapiens (Human)
A0A2R8YDQ9	unreviewed	ENST00000642944;ENST00000646804;	SUCLA2		IPR011761;IPR013650;IPR013815;IPR005811;IPR017866;IPR034723;IPR005809;IPR016102;	Homo sapiens (Human)
B4DK72	unreviewed	ENST00000538346;	PDE1B		IPR003607;IPR023088;IPR002073;IPR036971;IPR023174;IPR013706;	Homo sapiens (Human)
