Entry	Reviewed	Entry Name	Protein names	Organism	Length	Gene Names (primary)	Gene Names	PDB
A0A5B9	reviewed	TRBC2_HUMAN	T cell receptor beta constant 2	Homo sapiens (Human)	178	TRBC2	TRBC2 TCRBC2	1AO7;1BD2;2EYR;2EYS;2EYT;3KXF;3O6F;3O8X;3O9W;3QUX;3T0E;3TA3;3TVM;4C56;4MVB;4MXQ;4N0C;4N5E;4NHU;4ONH;4P4K;4UDT;4UDU;4WW1;4WW2;4WWK;4Y16;4Y2D;4Y4F;4Y4H;4Y4K;4ZAK;5BRZ;5BS0;5C07;5C08;5C09;5C0A;5C0B;5C0C;5EU6;5FK9;5FKA;5HHM;5HHO;5HYJ;5KS9;5KSA;5KSB;6CPH;6CQL;6CQQ;6CQR;6MIV;6MIY;6MJ4;6MJ6;6MJA;6MJI;6MJJ;6MJQ;7NDT;
A0AV96	reviewed	RBM47_HUMAN	RNA-binding protein 47 (RNA-binding motif protein 47)	Homo sapiens (Human)	593	RBM47	RBM47	2DIS;
A0AVK6	reviewed	E2F8_HUMAN	Transcription factor E2F8, E2F-8	Homo sapiens (Human)	867	E2F8	E2F8	4YO2;
A0FGR8	reviewed	ESYT2_HUMAN	Extended synaptotagmin-2, E-Syt2 (Chr2Syt)	Homo sapiens (Human)	921	ESYT2	ESYT2 FAM62B KIAA1228	2DMG;4NPJ;4NPK;4P42;
A0JLT2	reviewed	MED19_HUMAN	Mediator of RNA polymerase II transcription subunit 19 (Lung cancer metastasis-related protein 1) (Mediator complex subunit 19)	Homo sapiens (Human)	244	MED19	MED19 LCMR1	7EMF;7ENA;7ENC;7ENJ;7LBM;7NVR;
A0PK00	reviewed	T120B_HUMAN	Transmembrane protein 120B	Homo sapiens (Human)	339	TMEM120B	TMEM120B	7F73;
A1A4S6	reviewed	RHG10_HUMAN	Rho GTPase-activating protein 10 (GTPase regulator associated with focal adhesion kinase 2) (Graf-related protein 2) (Rho-type GTPase-activating protein 10)	Homo sapiens (Human)	786	ARHGAP10	ARHGAP10 GRAF2	2MIO;
A1L3X0	reviewed	ELOV7_HUMAN	Elongation of very long chain fatty acids protein 7, EC 2.3.1.199 (3-keto acyl-CoA synthase ELOVL7) (ELOVL fatty acid elongase 7, ELOVL FA elongase 7) (Very long chain 3-ketoacyl-CoA synthase 7) (Very long chain 3-oxoacyl-CoA synthase 7)	Homo sapiens (Human)	281	ELOVL7	ELOVL7	6Y7F;
A1Z1Q3	reviewed	MACD2_HUMAN	ADP-ribose glycohydrolase MACROD2 (MACRO domain-containing protein 2) (O-acetyl-ADP-ribose deacetylase MACROD2, EC 3.5.1.-) ([Protein ADP-ribosylaspartate] hydrolase MACROD2, EC 3.2.2.-) ([Protein ADP-ribosylglutamate] hydrolase MACROD2, EC 3.2.2.-)	Homo sapiens (Human)	425	MACROD2	MACROD2 C20orf133	4IQY;6Y4Y;6Y4Z;6Y73;
A2RUC4	reviewed	TYW5_HUMAN	tRNA wybutosine-synthesizing protein 5, hTYW5, EC 1.14.11.42 (tRNA(Phe) (7-(3-amino-3-carboxypropyl)wyosine(37)-C(2))-hydroxylase)	Homo sapiens (Human)	315	TYW5	TYW5 C2orf60	3AL5;3AL6;
