Organism	Gene Symbol	ID	Genetic Location	Genome Coordinates	Build	Associated Human Diseases	Abnormal Mouse Phenotypes	
mouse	Fgfr1	MGI:95522		Chr8:26008775-26065734 (+)	GRCm39	otitis media | Pfeiffer syndrome	behavior/neurological | cardiovascular system | cellular | craniofacial | digestive/alimentary system | embryo | endocrine/exocrine glands | growth/size/body | hearing/vestibular/ear | homeostasis/metabolism | immune system | integument | limbs/digits/tail | mortality/aging | muscle | nervous system | reproductive system | respiratory system | skeleton | vision/eye	
mouse	Lig3	MGI:109152	Chr11 B5	Chr11:82671935-82695100 (+)	GRCm39		behavior/neurological | cardiovascular system | cellular | embryo | growth/size/body | homeostasis/metabolism | mortality/aging | muscle | nervous system	
mouse	Egfr	MGI:95294	Chr11 A1-A4	Chr11:16702203-16868158 (+)	GRCm39	aortic valve disease | Coronavirus infectious disease	cardiovascular system | cellular | craniofacial | digestive/alimentary system | embryo | endocrine/exocrine glands | growth/size/body | hearing/vestibular/ear | hematopoietic system | homeostasis/metabolism | immune system | integument | limbs/digits/tail | liver/biliary system | mortality/aging | muscle | nervous system | pigmentation | renal/urinary system | reproductive system | respiratory system | skeleton | vision/eye	
mouse	Smad4	MGI:894293		Chr18:73772080-73836851 (-)	GRCm39	juvenile polyposis syndrome | osteogenesis imperfecta	behavior/neurological | cardiovascular system | cellular | craniofacial | digestive/alimentary system | embryo | endocrine/exocrine glands | growth/size/body | hematopoietic system | homeostasis/metabolism | immune system | integument | limbs/digits/tail | mortality/aging | muscle | neoplasm | nervous system | renal/urinary system | reproductive system | respiratory system | skeleton	
mouse	Zfp949	MGI:1918890	Chr9 E3.2	Chr9:88430073-88453114 (+)	GRCm39		cellular | embryo | growth/size/body | mortality/aging | nervous system	
mouse	Chrd	MGI:1313268		Chr16:20551877-20561134 (+)	GRCm39	DiGeorge syndrome | velocardiofacial syndrome	behavior/neurological | cardiovascular system | cellular | craniofacial | digestive/alimentary system | embryo | endocrine/exocrine glands | growth/size/body | hearing/vestibular/ear | hematopoietic system | homeostasis/metabolism | immune system | mortality/aging | muscle | nervous system | renal/urinary system | reproductive system | respiratory system | skeleton	
mouse	Bmp4	MGI:88180		Chr14:46620982-46628126 (-)	GRCm39	atrioventricular septal defect | Axenfeld-Rieger syndrome type 3 | cleft palate-lateral synechia syndrome | fibrodysplasia ossificans progressiva | physical disorder | urinary system disease	behavior/neurological | cardiovascular system | cellular | craniofacial | digestive/alimentary system | embryo | endocrine/exocrine glands | growth/size/body | hearing/vestibular/ear | hematopoietic system | homeostasis/metabolism | limbs/digits/tail | liver/biliary system | mortality/aging | muscle | nervous system | renal/urinary system | reproductive system | respiratory system | skeleton | vision/eye	
mouse	Stim1	MGI:107476		Chr7:101917013-102086526 (+)	GRCm39		behavior/neurological | cardiovascular system | cellular | embryo | growth/size/body | hematopoietic system | homeostasis/metabolism | immune system | integument | mortality/aging | nervous system | renal/urinary system | respiratory system | skeleton | vision/eye	
mouse	Ptk2	MGI:95481		Chr15:73076951-73295129 (-)	GRCm39		cardiovascular system | cellular | digestive/alimentary system | embryo | endocrine/exocrine glands | growth/size/body | homeostasis/metabolism | integument | limbs/digits/tail | liver/biliary system | mortality/aging | muscle | neoplasm | nervous system | reproductive system | respiratory system	
mouse	Qki	MGI:97837		Chr17:10425400-10538706 (-)	GRCm39		behavior/neurological | cardiovascular system | embryo | growth/size/body | hematopoietic system | homeostasis/metabolism | limbs/digits/tail | mortality/aging | muscle | nervous system	
mouse	Rai1	MGI:103291	Chr11 B2	Chr11:59995839-60090023 (+)	GRCm39	Potocki-Lupski syndrome | Smith-Magenis syndrome	adipose tissue | behavior/neurological | craniofacial | endocrine/exocrine glands | growth/size/body | homeostasis/metabolism | limbs/digits/tail | mortality/aging | nervous system | respiratory system | skeleton	
