Organism	Gene Symbol	ID	Genetic Location	Genome Coordinates	Build	Associated Human Diseases	Abnormal Mouse Phenotypes	
mouse	Crh	MGI:88496		Chr3:19747565-19749560 (-)	GRCm39	primary hyperaldosteronism	adipose tissue | behavior/neurological | cellular | endocrine/exocrine glands | growth/size/body | hematopoietic system | homeostasis/metabolism | immune system | integument | limbs/digits/tail | liver/biliary system | nervous system | renal/urinary system | respiratory system | skeleton	
mouse	Cyld	MGI:1921506		Chr8:89423675-89478573 (+)	GRCm39		behavior/neurological | cellular | digestive/alimentary system | endocrine/exocrine glands | growth/size/body | hematopoietic system | homeostasis/metabolism | immune system | integument | limbs/digits/tail | mortality/aging | neoplasm | respiratory system	
mouse	Dgkz	MGI:1278339	Chr2 E1	Chr2:91763169-91806209 (-)	GRCm39		cellular | hematopoietic system | homeostasis/metabolism | immune system | skeleton	
mouse	Ifng	MGI:107656		Chr10:118276951-118281797 (+)	GRCm39	aplastic anemia | cardiomyopathy | hepatitis | malaria | medulloblastoma | type 1 diabetes mellitus	behavior/neurological | cardiovascular system | cellular | craniofacial | digestive/alimentary system | embryo | endocrine/exocrine glands | growth/size/body | hematopoietic system | homeostasis/metabolism | immune system | integument | liver/biliary system | mortality/aging | muscle | neoplasm | nervous system | renal/urinary system | reproductive system | respiratory system | skeleton | vision/eye	
mouse	Ikbkg	MGI:1338074		ChrX:73436896-73497460 (+)	GRCm39	Bloch-Sulzberger syndrome | steatotic liver disease	adipose tissue | behavior/neurological | cardiovascular system | cellular | digestive/alimentary system | endocrine/exocrine glands | growth/size/body | hematopoietic system | homeostasis/metabolism | immune system | integument | liver/biliary system | mortality/aging | neoplasm | pigmentation | reproductive system	
mouse	C3	MGI:88227	Chr17 E1-E3	Chr17:57510970-57535136 (-)	GRCm39	complement component 3 deficiency	adipose tissue | behavior/neurological | cardiovascular system | cellular | digestive/alimentary system | embryo | growth/size/body | hematopoietic system | homeostasis/metabolism | immune system | liver/biliary system | mortality/aging | nervous system | renal/urinary system | reproductive system | skeleton | vision/eye	
mouse	Ciita	MGI:108445	Chr16 B1	Chr16:10297923-10346282 (+)	GRCm39	MHC class II deficiency | osteoporosis	cellular | endocrine/exocrine glands | hematopoietic system | homeostasis/metabolism | immune system | skeleton	
mouse	Clec7a	MGI:1861431	Chr6 F3	Chr6:129438554-129449742 (-)	GRCm39		cellular | digestive/alimentary system | growth/size/body | hematopoietic system | homeostasis/metabolism | immune system | mortality/aging | respiratory system	
mouse	Cpa3	MGI:88479		Chr3:20269784-20296345 (-)	GRCm39		hematopoietic system | homeostasis/metabolism | immune system | mortality/aging | renal/urinary system	
mouse	Prf1	MGI:97551		Chr10:61133612-61140459 (+)	GRCm39	familial hemophagocytic lymphohistiocytosis 2 | multiple sclerosis | type 1 diabetes mellitus	behavior/neurological | cellular | endocrine/exocrine glands | growth/size/body | hematopoietic system | homeostasis/metabolism | immune system | integument | liver/biliary system | mortality/aging | neoplasm | nervous system | reproductive system | respiratory system	
mouse	Prg2	MGI:103294		Chr2:84810805-84813976 (+)	GRCm39		hematopoietic system | homeostasis/metabolism | immune system | integument | respiratory system | vision/eye	
mouse	Prkag2	MGI:1336153		Chr5:25067742-25305640 (-)	GRCm39		adipose tissue | behavior/neurological | cardiovascular system | endocrine/exocrine glands | growth/size/body | homeostasis/metabolism | immune system | liver/biliary system | muscle	
mouse	Pstpip2	MGI:1335088	Chr18 E3	Chr18:77882250-77971462 (+)	GRCm39	chronic recurrent multifocal osteomyelitis	adipose tissue | behavior/neurological | cellular | craniofacial | endocrine/exocrine glands | growth/size/body | hearing/vestibular/ear | hematopoietic system | homeostasis/metabolism | immune system | integument | limbs/digits/tail | liver/biliary system | mortality/aging | nervous system | reproductive system | skeleton	
mouse	Ptgdr2	MGI:1330275		Chr19:10914524-10919875 (+)	GRCm39		cardiovascular system | hematopoietic system | homeostasis/metabolism | immune system	
mouse	Ptges	MGI:1927593		Chr2:30779483-30793309 (-)	GRCm39		behavior/neurological | cardiovascular system | cellular | hematopoietic system | homeostasis/metabolism | immune system	
mouse	Ptpn2	MGI:97806		Chr18:67798581-67857665 (-)	GRCm39		adipose tissue | behavior/neurological | cellular | digestive/alimentary system | endocrine/exocrine glands | growth/size/body | hematopoietic system | homeostasis/metabolism | immune system | limbs/digits/tail | mortality/aging | skeleton | vision/eye	
mouse	Ptpn6	MGI:96055		Chr6:124697670-124715672 (-)	GRCm39		cellular | digestive/alimentary system | endocrine/exocrine glands | growth/size/body | hematopoietic system | homeostasis/metabolism | immune system | integument | limbs/digits/tail | mortality/aging | nervous system | pigmentation | reproductive system | respiratory system | skeleton | vision/eye	
mouse	Rabgef1	MGI:1929459	Chr5 F	Chr5:130200644-130243178 (+)	GRCm39		hematopoietic system | homeostasis/metabolism | immune system | integument | mortality/aging	
mouse	Alox5	MGI:87999		Chr6:116387038-116438139 (-)	GRCm39		adipose tissue | cardiovascular system | cellular | hematopoietic system | homeostasis/metabolism | immune system | skeleton	
mouse	Anxa5	MGI:106008		Chr3:36503072-36530036 (-)	GRCm39		immune system	
mouse	Ncf1	MGI:97283		Chr5:134248907-134258479 (-)	GRCm39	chronic granulomatous disease	behavior/neurological | cardiovascular system | cellular | digestive/alimentary system | endocrine/exocrine glands | growth/size/body | hematopoietic system | homeostasis/metabolism | immune system | integument | liver/biliary system | mortality/aging | muscle | nervous system | renal/urinary system | respiratory system | vision/eye	
mouse	Nfkb1	MGI:97312		Chr3:135290416-135397308 (-)	GRCm39		behavior/neurological | cellular | digestive/alimentary system | growth/size/body | hearing/vestibular/ear | hematopoietic system | homeostasis/metabolism | immune system | integument | liver/biliary system | mortality/aging | muscle | nervous system | respiratory system | skeleton | vision/eye	
mouse	Nipbl	MGI:1913976	Chr15 A2	Chr15:8320101-8473947 (-)	GRCm39	Cornelia de Lange syndrome 1	adipose tissue | behavior/neurological | cardiovascular system | cellular | craniofacial | embryo | growth/size/body | hearing/vestibular/ear | homeostasis/metabolism | immune system | limbs/digits/tail | mortality/aging | muscle | nervous system | skeleton | vision/eye	
mouse	Nos2	MGI:97361		Chr11:78811613-78851052 (+)	GRCm39	type 1 diabetes mellitus	adipose tissue | behavior/neurological | cardiovascular system | cellular | craniofacial | digestive/alimentary system | endocrine/exocrine glands | growth/size/body | hematopoietic system | homeostasis/metabolism | immune system | integument | liver/biliary system | mortality/aging | muscle | neoplasm | nervous system | renal/urinary system | reproductive system | respiratory system | skeleton | vision/eye	
mouse	Npy1r	MGI:104963	Chr8 B3-C2	Chr8:67149844-67159444 (+)	GRCm39	obesity	adipose tissue | behavior/neurological | cardiovascular system | cellular | craniofacial | growth/size/body | hematopoietic system | homeostasis/metabolism | immune system | integument | limbs/digits/tail | mortality/aging | muscle | nervous system | reproductive system | respiratory system | skeleton | taste/olfaction	
mouse	Parp1	MGI:1340806	Chr1 H5	Chr1:180396456-180428564 (+)	GRCm39		behavior/neurological | cellular | growth/size/body | hearing/vestibular/ear | hematopoietic system | homeostasis/metabolism | immune system | integument | mortality/aging | nervous system | renal/urinary system | reproductive system | vision/eye	
mouse	Il6	MGI:96559		Chr5:30218112-30224973 (+)	GRCm39		behavior/neurological | cardiovascular system | cellular | digestive/alimentary system | endocrine/exocrine glands | growth/size/body | hematopoietic system | homeostasis/metabolism | immune system | integument | liver/biliary system | mortality/aging | muscle | neoplasm | nervous system | respiratory system | skeleton | vision/eye	
mouse	Il6st	MGI:96560		Chr13:112600604-112643394 (+)	GRCm39	rheumatoid arthritis | stomach cancer	cardiovascular system | cellular | digestive/alimentary system | embryo | endocrine/exocrine glands | growth/size/body | hematopoietic system | homeostasis/metabolism | immune system | integument | limbs/digits/tail | liver/biliary system | mortality/aging | neoplasm | nervous system | reproductive system | skeleton | vision/eye	
mouse	Il10	MGI:96537		Chr1:130947582-130952711 (+)	GRCm39	inflammatory bowel disease	behavior/neurological | cardiovascular system | cellular | craniofacial | digestive/alimentary system | embryo | endocrine/exocrine glands | growth/size/body | hematopoietic system | homeostasis/metabolism | immune system | limbs/digits/tail | liver/biliary system | mortality/aging | muscle | neoplasm | nervous system | reproductive system | respiratory system | skeleton | vision/eye	
mouse	Il15	MGI:103014		Chr8:83058261-83129851 (-)	GRCm39		adipose tissue | behavior/neurological | cardiovascular system | embryo | endocrine/exocrine glands | growth/size/body | hematopoietic system | homeostasis/metabolism | immune system | integument | limbs/digits/tail | liver/biliary system | mortality/aging | muscle | neoplasm | reproductive system | respiratory system | skeleton	
mouse	Irak3	MGI:1921164	Chr10 D2	Chr10:119977553-120038035 (-)	GRCm39	osteoporosis | type 1 diabetes mellitus	endocrine/exocrine glands | growth/size/body | hematopoietic system | homeostasis/metabolism | immune system | limbs/digits/tail | skeleton	
mouse	Ffar2	MGI:2441731		Chr7:30517778-30523200 (-)	GRCm39		cardiovascular system | cellular | digestive/alimentary system | endocrine/exocrine glands | growth/size/body | hematopoietic system | homeostasis/metabolism | immune system | mortality/aging | respiratory system | skeleton	
mouse	Foxp3	MGI:1891436		ChrX:7445915-7461482 (+)	GRCm39	immune dysregulation-polyendocrinopathy-enteropathy-X-linked syndrome | Wiskott-Aldrich syndrome	behavior/neurological | cardiovascular system | cellular | craniofacial | digestive/alimentary system | endocrine/exocrine glands | growth/size/body | hearing/vestibular/ear | hematopoietic system | homeostasis/metabolism | immune system | integument | liver/biliary system | mortality/aging | renal/urinary system | reproductive system | respiratory system | vision/eye	
mouse	Gba1	MGI:95665		Chr3:89110235-89116273 (+)	GRCm39	Gaucher's disease | Gaucher's disease type I | Gaucher's disease type II	behavior/neurological | cardiovascular system | cellular | endocrine/exocrine glands | growth/size/body | hematopoietic system | homeostasis/metabolism | immune system | integument | liver/biliary system | mortality/aging | nervous system | pigmentation | respiratory system | skeleton	
mouse	Gcnt1	MGI:95676		Chr19:17303505-17350208 (-)	GRCm39		behavior/neurological | cellular | hematopoietic system | immune system	
mouse	Lyn	MGI:96892		Chr4:3676865-3791612 (+)	GRCm39	systemic lupus erythematosus	behavior/neurological | cellular | craniofacial | digestive/alimentary system | endocrine/exocrine glands | growth/size/body | hematopoietic system | homeostasis/metabolism | immune system | integument | liver/biliary system | mortality/aging | nervous system | renal/urinary system | respiratory system | skeleton	
mouse	Mmp2	MGI:97009		Chr8:93553920-93580049 (+)	GRCm39		behavior/neurological | cardiovascular system | craniofacial | digestive/alimentary system | endocrine/exocrine glands | growth/size/body | hematopoietic system | homeostasis/metabolism | immune system | integument | muscle | neoplasm | nervous system | renal/urinary system | reproductive system | respiratory system | skeleton | vision/eye	
mouse	Mmp8	MGI:1202395		Chr9:7558457-7568486 (+)	GRCm39		cardiovascular system | growth/size/body | homeostasis/metabolism | immune system | neoplasm	
mouse	Runx3	MGI:102672		Chr4:134847963-134905301 (+)	GRCm39	asthma | idiopathic scoliosis | inflammatory bowel disease	adipose tissue | behavior/neurological | cellular | craniofacial | digestive/alimentary system | endocrine/exocrine glands | growth/size/body | hematopoietic system | homeostasis/metabolism | immune system | integument | limbs/digits/tail | mortality/aging | muscle | nervous system | respiratory system | skeleton	
mouse	Slc37a4	MGI:1316650	Chr9 B	Chr9:44308243-44314263 (+)	GRCm39	glycogen storage disease Ia	behavior/neurological | cellular | growth/size/body | hematopoietic system | homeostasis/metabolism | immune system | liver/biliary system | mortality/aging | nervous system | renal/urinary system | skeleton	
mouse	Socs1	MGI:1354910		Chr16:10601672-10603400 (-)	GRCm39		cardiovascular system | cellular | digestive/alimentary system | endocrine/exocrine glands | growth/size/body | hematopoietic system | homeostasis/metabolism | immune system | integument | liver/biliary system | mortality/aging | muscle | neoplasm | renal/urinary system | respiratory system | vision/eye	
mouse	Spp1	MGI:98389		Chr5:104582984-104588916 (+)	GRCm39		behavior/neurological | cardiovascular system | cellular | growth/size/body | hematopoietic system | homeostasis/metabolism | immune system | liver/biliary system | mortality/aging | muscle | neoplasm | nervous system | renal/urinary system | reproductive system | respiratory system | skeleton | vision/eye	
mouse	Stat3	MGI:103038		Chr11:100777632-100830447 (-)	GRCm39	colorectal cancer | hyper IgE recurrent infection syndrome 1 | inflammatory bowel disease | peripartum cardiomyopathy | psoriasis	adipose tissue | behavior/neurological | cardiovascular system | cellular | digestive/alimentary system | embryo | endocrine/exocrine glands | growth/size/body | hematopoietic system | homeostasis/metabolism | immune system | integument | liver/biliary system | mortality/aging | muscle | neoplasm | nervous system | renal/urinary system | reproductive system | respiratory system | skeleton | vision/eye	
mouse	Tbk1	MGI:1929658		Chr10:121382360-121422692 (-)	GRCm39		cardiovascular system | growth/size/body | hematopoietic system | homeostasis/metabolism | immune system | integument | liver/biliary system | mortality/aging | renal/urinary system	
mouse	Tg(Gfap-TK)7.1Mvs	MGI:3664564					cardiovascular system | cellular | digestive/alimentary system | endocrine/exocrine glands | hematopoietic system | homeostasis/metabolism | immune system | mortality/aging | nervous system | reproductive system	
mouse	Tg(H2-D-Il15)3304Clgr	MGI:3623277					growth/size/body | hematopoietic system | immune system | integument | liver/biliary system | mortality/aging | neoplasm | respiratory system	
mouse	Tg(Lck-Tnfsf14)24Yxf	MGI:3849833				IgA glomerulonephritis	cellular | digestive/alimentary system | growth/size/body | hematopoietic system | homeostasis/metabolism | immune system | integument | liver/biliary system | muscle | renal/urinary system | respiratory system	
mouse	Tgfb1	MGI:98725		Chr7:25386427-25404502 (+)	GRCm39	Sjogren's syndrome	adipose tissue | behavior/neurological | cardiovascular system | cellular | craniofacial | digestive/alimentary system | embryo | endocrine/exocrine glands | growth/size/body | hematopoietic system | homeostasis/metabolism | immune system | integument | liver/biliary system | mortality/aging | muscle | neoplasm | nervous system | renal/urinary system | reproductive system | respiratory system | skeleton | vision/eye	
mouse	Tnf	MGI:104798		Chr17:35418357-35420983 (-)	GRCm39	aortic valve stenosis | congestive heart failure | dilated cardiomyopathy | heart valve disease | idiopathic pulmonary fibrosis | inflammatory bowel disease | multiple sclerosis | rheumatoid arthritis | spondyloarthropathy	adipose tissue | behavior/neurological | cardiovascular system | cellular | craniofacial | digestive/alimentary system | embryo | endocrine/exocrine glands | growth/size/body | hematopoietic system | homeostasis/metabolism | immune system | integument | limbs/digits/tail | liver/biliary system | mortality/aging | muscle | neoplasm | nervous system | renal/urinary system | reproductive system | respiratory system | skeleton	
mouse	Tnfaip3	MGI:1196377		Chr10:18876658-18891158 (-)	GRCm39		cardiovascular system | cellular | digestive/alimentary system | endocrine/exocrine glands | growth/size/body | hematopoietic system | homeostasis/metabolism | immune system | integument | liver/biliary system | mortality/aging | nervous system | renal/urinary system | reproductive system | respiratory system | skeleton	
mouse	Tnfaip8l2	MGI:1917019		Chr3:95046832-95049671 (-)	GRCm39		cellular | digestive/alimentary system | growth/size/body | hematopoietic system | homeostasis/metabolism | immune system | liver/biliary system | mortality/aging | respiratory system	
mouse	Tnfsf14	MGI:1355317	Chr17 D-E1	Chr17:57496492-57501177 (-)	GRCm39	IgA glomerulonephritis	cellular | digestive/alimentary system | growth/size/body | hematopoietic system | homeostasis/metabolism | immune system | integument | liver/biliary system | muscle | renal/urinary system | respiratory system | skeleton	
mouse	Tom1l2	MGI:2443306		Chr11:60117540-60243731 (-)	GRCm39		adipose tissue | behavior/neurological | cardiovascular system | craniofacial | endocrine/exocrine glands | growth/size/body | hematopoietic system | immune system | integument | neoplasm | nervous system | renal/urinary system | reproductive system | respiratory system | skeleton | vision/eye	
mouse	Cpn1	MGI:2135874	Chr19 D2	Chr19:43944746-43974990 (-)	GRCm39		behavior/neurological | homeostasis/metabolism | immune system	
mouse	Cr1l	MGI:88513		Chr1:194781019-194813878 (-)	GRCm39		cardiovascular system | embryo | growth/size/body | hematopoietic system | homeostasis/metabolism | immune system | mortality/aging | nervous system | renal/urinary system | reproductive system | vision/eye	
human	CR2	HGNC:2336	Chr1 q32.2	Chr1:207453024-207489895 (+)	GRCh38	common variable immunodeficiency 7 | nasopharynx carcinoma | systemic lupus erythematosus		
mouse	Creb3l3	MGI:2384786		Chr10:80920163-80934706 (-)	GRCm39		homeostasis/metabolism | immune system | mortality/aging	
mouse	Crim1	MGI:1354756		Chr17:78507677-78684021 (+)	GRCm39		behavior/neurological | cardiovascular system | cellular | craniofacial | digestive/alimentary system | embryo | endocrine/exocrine glands | growth/size/body | hematopoietic system | homeostasis/metabolism | immune system | integument | limbs/digits/tail | liver/biliary system | mortality/aging | muscle | nervous system | renal/urinary system | skeleton | vision/eye	
mouse	Cripto	MGI:98658		Chr9:110768676-110775226 (-)	GRCm39		cardiovascular system | cellular | embryo | endocrine/exocrine glands | immune system | mortality/aging | nervous system | reproductive system | vision/eye	
human	CRLF1	HGNC:2364	Chr19 p13.11	Chr19:18572220-18607741 (-)	GRCh38	cold-induced sweating syndrome 1		
mouse	Crlf2	MGI:1889506		Chr5:109702575-109706859 (-)	GRCm39		behavior/neurological | cardiovascular system | cellular | digestive/alimentary system | growth/size/body | hematopoietic system | homeostasis/metabolism | immune system | integument | liver/biliary system | mortality/aging | nervous system | renal/urinary system | reproductive system | respiratory system	
mouse	Crocc	MGI:3529431		Chr4:140743948-140787861 (-)	GRCm39		behavior/neurological | immune system | nervous system | respiratory system | vision/eye	
human	CRP	HGNC:2367	Chr1 q23.2	Chr1:159712289-159714589 (-)	GRCh38	acute kidney failure | antiphospholipid syndrome | heart disease | human immunodeficiency virus infectious disease | hypertension | inflammatory bowel disease | interstitial nephritis | Kawasaki disease | Kuhnt-Junius degeneration | lupus nephritis | macular degeneration | middle cerebral artery infarction | obstructive sleep apnea | renal fibrosis | systemic lupus erythematosus		
mouse	Crsl	MGI:2662567					behavior/neurological | craniofacial | hearing/vestibular/ear | immune system | mortality/aging | nervous system | reproductive system | skeleton | vision/eye	
human	CSF1R	HGNC:2433	Chr5 q32	Chr5:150053291-150113372 (-)	GRCh38	adult-onset leukoencephalopathy with axonal spheroids and pigmented glia | colon adenocarcinoma | diabetes mellitus | gastrointestinal stromal tumor | hepatocellular carcinoma | lung cancer | lung non-small cell carcinoma | nasopharynx carcinoma | renal cell carcinoma		
human	CSF2	HGNC:2434	Chr5 q31.1	Chr5:132073789-132076170 (+)	GRCh38	acute myeloid leukemia | juvenile myelomonocytic leukemia | neutropenia | pulmonary alveolar proteinosis | visceral leishmaniasis		
